,cocktail_id,sweet,sour,bitter,alc,sparking
0,1,3,4,2,30,0
1,2,3,0,2,11,0
2,3,4,4,4,32,0
3,4,3,0,1,5,4
4,5,2,3,3,24,0
5,6,4,3,1,30,0
6,7,5,2,0,9,0
7,8,3,2,1,28,0
8,9,5,0,0,13,0
9,10,4,3,2,21,0
10,11,1,1,4,30,0
11,12,1,4,4,35,0
12,13,4,0,3,23,0
13,14,2,0,4,37,0
14,15,3,3,2,27,0
15,16,4,2,0,15,0
16,17,5,2,0,0,0
17,18,4,2,0,9,0
18,19,5,0,0,16,0
19,20,2,3,2,20,0
20,21,4,5,0,10,0
21,22,3,5,3,32,0
22,23,1,3,5,37,0
23,24,5,0,2,5,0
24,25,2,0,4,28,0
25,26,3,3,3,27,0
26,27,2,3,4,34,0
27,28,3,2,0,15,3
28,29,0,0,3,4,3
29,30,2,5,3,22,1
30,31,5,2,1,14,0
31,32,4,4,2,15,5
32,33,5,2,0,10,2
33,34,3,1,2,35,0
34,35,1,1,4,40,0
35,36,4,3,0,16,2
36,37,3,1,3,3,2
37,38,3,5,2,21,0
38,39,5,2,0,6,0
39,40,3,0,2,29,4
40,41,2,3,2,17,0
41,42,3,3,2,30,0
42,43,0,0,5,37,0
43,44,4,3,0,20,0
44,45,2,1,3,33,0
45,46,2,0,4,19,0
46,47,3,3,3,14,3
47,48,3,2,1,25,0
48,49,3,1,0,19,4
49,50,2,5,0,0,4
50,51,5,4,0,14,3
51,52,2,4,2,4,0
52,53,1,0,5,40,0
53,54,2,0,3,45,0
54,55,4,2,0,12,0
55,56,3,3,0,15,2
56,57,5,1,2,33,0
57,58,4,2,1,13,0
58,59,3,4,0,0,0
59,60,1,0,2,4,4
60,61,5,0,0,5,0
61,62,4,0,0,30,0
62,63,3,2,2,31,0
63,64,2,1,4,32,0
64,65,4,2,2,24,0
65,66,3,4,3,37,0
66,67,4,2,2,15,0
67,68,4,0,3,33,0
68,69,1,0,4,10,2
69,70,2,2,2,13,0
70,71,4,2,0,10,4
71,72,4,2,0,20,0
72,73,4,3,0,5,4
73,74,2,4,2,15,0
74,75,4,3,3,40,0
75,76,4,5,2,22,0
76,77,2,0,5,19,0
77,78,1,0,3,4,2
78,79,3,5,0,0,0
79,80,3,2,1,22,5
80,81,5,3,0,14,0
81,82,4,1,0,0,5
82,83,0,0,4,10,3
83,84,2,4,1,15,0
84,85,4,3,0,5,3
85,86,4,3,0,14,0
86,87,4,3,1,13,0
87,88,2,1,2,28,0
88,89,2,4,1,10,4
89,90,4,4,0,8,0
90,91,3,5,0,0,0
91,92,1,4,5,40,0
92,93,1,0,4,10,0
93,94,3,0,0,25,0
94,95,3,3,1,11,0
95,96,3,2,4,9,4
96,97,3,1,3,42,0
97,98,3,0,2,20,0
98,99,2,1,4,42,0
99,100,4,4,1,35,0
100,101,0,1,4,24,0
101,102,5,0,0,14,0
102,103,3,0,4,22,0
103,104,4,2,1,15,0
104,105,3,1,2,27,0
105,106,3,3,2,20,1
106,107,4,2,1,10,4
107,108,4,3,0,18,0
108,109,5,0,0,22,0
109,110,5,1,0,6,0
110,111,2,1,5,24,0
111,112,1,1,3,26,0
112,113,4,2,1,21,0
113,114,5,5,2,13,0
114,115,0,0,5,13,0
115,116,2,0,2,18,3
116,117,5,3,2,31,0
117,118,5,1,0,7,0
118,119,3,4,1,14,3
119,120,1,2,4,23,0
120,121,3,0,0,13,5
121,122,3,5,1,13,4
122,123,2,4,0,19,0
123,124,4,2,0,8,0
124,125,0,4,3,40,0
125,126,2,2,5,48,0
126,127,4,3,1,26,0
